reference,date,amount,fee,terminal_type,terminal_id,location,net_amount
010935127,2024-10-27T18:58:56,150,3,BANCO,0002,,147
010945961,2024-10-27T19:00:06,250,5,BANCO,0002,,245
010959435,2024-10-27T19:00:45,1000,20,BANCO,0002,,980
010944626,2024-10-27T18:59:26,1000,20,BANCO,0005,,980
010954048,2024-10-27T19:01:49,250,5,BANCO,0004,,245
010955690,2024-10-27T19:01:59,150,3,BANCO,0002,,147
010954975,2024-10-27T19:00:36,500,10,BANCO,0005,,490
010955799,2024-10-27T19:03:16,500,10,BANCO,0002,,490
010955569,2024-10-27T19:03:19,500,10,BANCO,0002,,490
010958571,2024-10-27T19:04:10,250,5,BANCO,0002,,245
010959640,2024-10-27T19:04:11,500,10,BANCO,0008,,490
010959093,2024-10-27T19:02:01,1000,20,BANCO,0005,,980
010960156,2024-10-27T19:05:10,250,5,BANCO,0002,,245
010959406,2024-10-27T19:05:24,500,10,BANCO,0002,,490
010960158,2024-10-27T19:05:28,50,1,BANCO,0002,,49
010959798,2024-10-27T19:05:39,500,10,BANCO,0002,,490
010962336,2024-10-27T19:05:44,1000,20,BANCO,0002,,980
010966885,2024-10-27T19:06:53,260,5,BANCO,0002,,255
010966120,2024-10-27T19:06:54,100,2,BANCO,0002,,98
010966145,2024-10-27T19:05:03,1000,20,BANCO,0005,,980
010966958,2024-10-27T19:05:29,300,6,BANCO,0005,,294
010966080,2024-10-27T19:05:44,250,5,BANCO,0005,,245
010966337,2024-10-27T19:08:12,300,6,BANCO,0002,,294
010966538,2024-10-27T19:08:36,250,5,BANCO,0002,,245
010966674,2024-10-27T19:08:54,500,10,BANCO,0002,,490
010966416,2024-10-27T19:09:06,1000,20,BANCO,0002,,980
010966284,2024-10-27T19:09:50,500,10,BANCO,0002,,490
010968200,2024-10-27T19:11:07,500,10,BANCO,0002,,490
010967583,2024-10-27T19:11:10,500,10,BANCO,0002,,490
010968444,2024-10-27T19:11:12,1000,20,BANCO,0002,,980
010969224,2024-10-27T19:12:15,100,2,BANCO,0002,,98
010970442,2024-10-27T19:12:41,500,10,BANCO,0002,,490
010932401,2024-10-27T19:12:22,150,3,BANCO,0005,,147
010939490,2024-10-27T19:14:44,500,10,BANCO,0002,,490
010944666,2024-10-27T19:14:47,500,10,BANCO,0002,,490
010957508,2024-10-27T19:15:02,500,10,BANCO,0005,,490
010962383,2024-10-27T19:18:23,150,3,BANCO,0002,,147
010964112,2024-10-27T19:17:49,500,10,BANCO,0005,,490
010963553,2024-10-27T19:20:54,500,10,BANCO,0002,,490
010966355,2024-10-27T19:22:27,200,4,BANCO,0002,,196
010966435,2024-10-27T19:23:59,150,3,BANCO,0002,,147
010967240,2024-10-27T19:24:48,500,10,BANCO,0002,,490
010966796,2024-10-27T19:23:03,500,10,BANCO,0005,,490
010968767,2024-10-27T19:26:16,500,10,BANCO,0002,,490
010969938,2024-10-27T19:27:05,150,3,BANCO,0002,,147
010921349,2024-10-27T19:27:53,500,10,BANCO,0002,,490
010946270,2024-10-27T19:28:30,250,5,BANCO,0002,,245
010951940,2024-10-27T19:29:24,150,3,BANCO,0002,,147
010957154,2024-10-27T19:30:26,100,2,BANCO,0002,,98
010958568,2024-10-27T19:31:12,1000,20,BANCO,0002,,980
010961311,2024-10-27T19:31:36,1000,20,BANCO,0002,,980
010962313,2024-10-27T19:32:11,500,10,BANCO,0002,,490
010963425,2024-10-27T19:32:19,1000,20,BANCO,0002,,980
010965383,2024-10-27T19:30:25,250,5,BANCO,0005,,245
010969151,2024-10-27T19:32:59,210,4,BANCO,0002,,206
010850237,2024-10-27T19:34:06,1000,20,BANCO,0004,,980
010904571,2024-10-27T19:34:52,500,10,BANCO,0004,,490
010934271,2024-10-27T19:35:46,310,6,BANCO,0004,,304
010956575,2024-10-27T19:38:31,110,2,BANCO,0005,,108
010956032,2024-10-27T19:43:28,1000,20,BANCO,0003,,980
010960449,2024-10-27T19:43:51,400,8,BANCO,0003,,392
010959088,2024-10-27T19:44:02,500,10,BANCO,0003,,490
010959072,2024-10-27T19:44:10,250,5,BANCO,0003,,245
010959973,2024-10-27T19:44:13,1000,20,BANCO,0003,,980
010959687,2024-10-27T19:44:15,400,8,BANCO,0003,,392
010963916,2024-10-27T19:45:20,150,3,BANCO,0003,,147
010964171,2024-10-27T19:45:23,500,10,BANCO,0003,,490
010967654,2024-10-27T19:47:26,3000,60,BANCO,0003,,2940
010969012,2024-10-27T19:47:31,500,10,BANCO,0003,,490
010968953,2024-10-27T19:48:13,250,5,BANCO,0003,,245
010969156,2024-10-27T19:48:44,1000,20,BANCO,0003,,980
010969176,2024-10-27T19:49:02,500,10,BANCO,0003,,490
010969448,2024-10-27T19:49:09,1000,20,BANCO,0003,,980
010969606,2024-10-27T19:49:09,250,5,BANCO,0003,,245
010969832,2024-10-27T19:49:30,500,10,BANCO,0003,,490
010871929,2024-10-27T19:47:18,500,10,BANCO,0005,,490
010882071,2024-10-27T19:49:59,1000,20,BANCO,0003,,980
010949680,2024-10-27T19:52:07,1000,20,BANCO,0003,,980
010956735,2024-10-27T19:53:07,150,3,BANCO,0003,,147
010956009,2024-10-27T19:53:20,500,10,BANCO,0003,,490
010961213,2024-10-27T19:54:23,1000,20,BANCO,0003,,980
010962145,2024-10-27T19:54:33,100,2,BANCO,0003,,98
010965740,2024-10-27T19:54:20,300,6,BANCO,0008,,294
010964681,2024-10-27T19:54:58,250,5,BANCO,0003,,245
010969272,2024-10-27T19:56:01,500,10,BANCO,0003,,490
010970382,2024-10-27T19:56:24,100,2,BANCO,0003,,98
010918558,2024-10-27T19:56:54,1000,20,BANCO,0003,,980
010928180,2024-10-27T19:57:02,1000,20,BANCO,0003,,980
010930476,2024-10-27T19:57:06,500,10,BANCO,0003,,490
010956746,2024-10-27T19:58:28,260,5,BANCO,0003,,255
010963142,2024-10-27T20:01:09,1000,20,BANCO,0003,,980
010963426,2024-10-27T20:01:01,150,3,BANCO,0008,,147
010966407,2024-10-27T20:02:04,250,5,BANCO,0003,,245
010967374,2024-10-27T20:00:08,150,3,BANCO,0005,,147
010966153,2024-10-27T20:03:35,500,10,BANCO,0003,,490
010966403,2024-10-27T20:04:09,500,10,BANCO,0003,,490
010967772,2024-10-27T20:06:17,700,14,BANCO,0003,,686
010967839,2024-10-27T20:06:24,500,10,BANCO,0003,,490
010882398,2024-10-27T20:06:24,200,4,BANCO,0003,,196
010928051,2024-10-27T20:07:46,1000,20,BANCO,0003,,980
010937344,2024-10-27T20:08:48,250,5,BANCO,0003,,245
010941618,2024-10-27T20:11:20,1000,20,BANCO,0003,,980
010954707,2024-10-27T20:11:26,50,1,BANCO,0003,,49
010958417,2024-10-27T20:14:02,500,10,BANCO,0003,,490
010961071,2024-10-27T20:11:56,500,10,BANCO,0005,,490
010964235,2024-10-27T20:14:43,150,3,BANCO,0003,,147
010963809,2024-10-27T20:15:04,500,10,BANCO,0003,,490
010963078,2024-10-27T20:15:05,250,5,BANCO,0003,,245
010966315,2024-10-27T20:16:53,500,10,BANCO,0003,,490
010966510,2024-10-27T20:14:26,150,3,BANCO,0005,,147
010966897,2024-10-27T20:17:12,500,10,BANCO,0003,,490
010905424,2024-10-27T20:18:53,250,5,BANCO,0003,,245
010927071,2024-10-27T20:20:21,190,4,BANCO,0003,,186
010940037,2024-10-27T20:22:11,200,4,BANCO,0003,,196
010950208,2024-10-27T20:25:06,300,6,BANCO,0003,,294
010952140,2024-10-27T20:23:44,250,5,BANCO,0005,,245
010953594,2024-10-27T20:30:24,250,5,BANCO,0003,,245
010955585,2024-10-27T20:31:52,1000,20,BANCO,0003,,980
010954971,2024-10-27T20:32:16,1000,20,BANCO,0003,,980
010959008,2024-10-27T20:33:09,500,10,BANCO,0003,,490
010963189,2024-10-27T20:33:28,500,10,BANCO,0003,,490
010964057,2024-10-27T20:33:48,200,4,BANCO,0003,,196
010963091,2024-10-27T20:35:19,250,5,BANCO,0003,,245
010963114,2024-10-27T20:35:03,500,10,BANCO,0004,,490
010964423,2024-10-27T20:35:24,1000,20,BANCO,0003,,980
010963743,2024-10-27T20:35:59,500,10,BANCO,0003,,490
010963726,2024-10-27T20:36:16,500,10,BANCO,0003,,490
010965979,2024-10-27T20:36:20,50,1,BANCO,0003,,49
010965770,2024-10-27T20:36:55,1000,20,BANCO,0003,,980
010964606,2024-10-27T20:39:01,500,10,BANCO,0008,,490
010966331,2024-10-27T20:39:38,150,3,BANCO,0003,,147
010966610,2024-10-27T20:40:13,100,2,BANCO,0003,,98
010969173,2024-10-27T20:40:18,150,3,BANCO,0004,,147
010910470,2024-10-27T20:41:08,500,10,BANCO,0003,,490
010923202,2024-10-27T20:43:08,200,4,BANCO,0003,,196
010951063,2024-10-27T20:44:54,1000,20,BANCO,0003,,980
010950847,2024-10-27T20:45:14,200,4,BANCO,0003,,196
010959298,2024-10-27T20:45:59,578,12,BANCO,0003,,566
010964020,2024-10-27T20:46:43,1000,20,BANCO,0003,,980
010965674,2024-10-27T20:47:17,250,5,BANCO,0003,,245
010965884,2024-10-27T20:47:32,250,5,BANCO,0003,,245
010965460,2024-10-27T20:49:03,150,3,BANCO,0003,,147
010964633,2024-10-27T20:49:05,500,10,BANCO,0003,,490
010966838,2024-10-27T20:49:53,1000,20,BANCO,0003,,980
010966047,2024-10-27T20:53:46,1000,20,BANCO,0003,,980
010967795,2024-10-27T20:54:39,500,10,BANCO,0008,,490
010968974,2024-10-27T20:55:00,500,10,BANCO,0003,,490
010968022,2024-10-27T20:55:32,500,10,BANCO,0003,,490
010905552,2024-10-27T20:57:24,1000,20,BANCO,0003,,980
010906432,2024-10-27T20:57:31,500,10,BANCO,0003,,490
010941975,2024-10-27T20:58:03,1000,20,BANCO,0003,,980
010944784,2024-10-27T20:58:35,1000,20,BANCO,0003,,980
010958810,2024-10-27T21:02:11,50,1,BANCO,0003,,49
010959854,2024-10-27T21:03:44,500,10,BANCO,0004,,490
010963724,2024-10-27T21:06:07,300,6,BANCO,0003,,294
010963410,2024-10-27T21:06:21,250,5,BANCO,0003,,245
010895922,2024-10-27T21:10:51,250,5,BANCO,0003,,245
010896537,2024-10-27T21:11:03,150,3,BANCO,0003,,147
010945941,2024-10-27T21:12:41,150,3,BANCO,0003,,147
010949654,2024-10-27T21:14:45,1000,20,BANCO,0003,,980
010956902,2024-10-27T21:19:42,1100,22,BANCO,0003,,1078
010963957,2024-10-27T21:25:57,500,10,BANCO,0003,,490
010963681,2024-10-27T21:23:22,150,3,BANCO,0005,,147
010965564,2024-10-27T21:26:52,200,4,BANCO,0003,,196
010964761,2024-10-27T21:27:33,500,10,BANCO,0003,,490
010965505,2024-10-27T21:27:35,250,5,BANCO,0003,,245
010970089,2024-10-27T21:27:36,100,2,BANCO,0003,,98
010969273,2024-10-27T21:27:48,1000,20,BANCO,0003,,980
010868497,2024-10-27T21:28:56,1000,20,BANCO,0003,,980
010912537,2024-10-27T21:30:49,250,5,BANCO,0003,,245
010944869,2024-10-27T21:33:53,500,10,BANCO,0003,,490
010957631,2024-10-27T21:37:46,500,10,BANCO,0003,,490
010957610,2024-10-27T21:39:34,500,10,BANCO,0003,,490
010966847,2024-10-27T21:43:09,510,10,BANCO,0003,,500
010968184,2024-10-27T21:43:15,1000,20,BANCO,0003,,980
010968149,2024-10-27T21:43:26,1000,20,BANCO,0003,,980
010825395,2024-10-27T21:44:10,500,10,BANCO,0003,,490
010834887,2024-10-27T21:45:03,500,10,BANCO,0003,,490
010915694,2024-10-27T21:45:14,250,5,BANCO,0003,,245
010943060,2024-10-27T21:46:19,250,5,BANCO,0003,,245
010952455,2024-10-27T21:49:17,150,3,BANCO,0003,,147
010955576,2024-10-27T21:48:58,89,2,BANCO,0008,,87
010963075,2024-10-27T21:53:18,500,10,BANCO,0003,,490
010963248,2024-10-27T21:54:10,2000,40,BANCO,0003,,1960
010964043,2024-10-27T21:51:55,800,16,BANCO,0005,,784
010965171,2024-10-27T21:55:06,1000,20,BANCO,0003,,980
010967837,2024-10-27T21:57:07,500,10,BANCO,0003,,490
010968702,2024-10-27T21:59:19,150,3,BANCO,0003,,147
010968492,2024-10-27T21:59:28,490,10,BANCO,0003,,480
010967888,2024-10-27T21:57:07,60,1,BANCO,0005,,59
010969424,2024-10-27T22:01:31,500,10,BANCO,0003,,490
010969428,2024-10-27T22:01:42,200,4,BANCO,0004,,196
010969394,2024-10-27T22:02:06,150,3,BANCO,0003,,147
010885735,2024-10-27T22:06:57,500,10,BANCO,0003,,490
010909940,2024-10-27T22:07:45,1000,20,BANCO,0003,,980
010914240,2024-10-27T22:05:29,150,3,BANCO,0005,,147
010925423,2024-10-27T22:10:28,300,6,BANCO,0003,,294
010925229,2024-10-27T22:11:39,500,10,BANCO,0003,,490
010933577,2024-10-27T22:11:42,500,10,BANCO,0003,,490
010959706,2024-10-27T22:15:49,1000,20,BANCO,0003,,980
010959787,2024-10-27T22:17:11,600,12,BANCO,0003,,588
010967365,2024-10-27T22:25:05,500,10,BANCO,0004,,490
010885938,2024-10-27T22:28:22,2000,40,BANCO,0008,,1960
010965061,2024-10-27T22:40:53,200,4,BANCO,0004,,196
010966783,2024-10-27T23:03:28,250,5,BANCO,0008,,245
010968285,2024-10-27T23:15:47,150,3,BANCO,0004,,147
010970390,2024-10-27T23:20:56,501,10,BANCO,0008,,491
010969282,2024-10-27T23:22:09,260,5,BANCO,0004,,255
