reference,date,amount,fee,terminal_type,terminal_id,location,net_amount
010901214,2024-10-27T16:02:51,1000,20,BANCO,0002,,980
010911842,2024-10-27T16:02:55,500,10,BANCO,0004,,490
010932683,2024-10-27T16:03:37,500,10,BANCO,0002,,490
010938924,2024-10-27T16:03:48,500,10,BANCO,0002,,490
010944121,2024-10-27T16:03:48,150,3,BANCO,0002,,147
010944342,2024-10-27T16:03:49,150,3,BANCO,0002,,147
010947048,2024-10-27T16:04:31,150,3,BANCO,0008,,147
010947207,2024-10-27T17:05:12,500,10,BANCO,0011,,490
010947504,2024-10-27T16:05:17,500,10,BANCO,0004,,490
010956235,2024-10-27T16:06:02,150,3,BANCO,0002,,147
010957957,2024-10-27T16:06:52,200,4,BANCO,0002,,196
010959561,2024-10-27T16:07:59,600,12,BANCO,0004,,588
010962190,2024-10-27T16:08:38,250,5,BANCO,0002,,245
010879348,2024-10-27T16:09:05,500,10,BANCO,0002,,490
010910290,2024-10-27T16:09:10,100,2,BANCO,0008,,98
010949695,2024-10-27T16:10:52,150,3,BANCO,0004,,147
010953638,2024-10-27T16:11:10,1000,20,BANCO,0008,,980
010956311,2024-10-27T16:11:41,700,14,BANCO,0002,,686
010902623,2024-10-27T16:13:13,1000,20,BANCO,0002,,980
010952144,2024-10-27T16:14:39,250,5,BANCO,0002,,245
010955176,2024-10-27T16:15:10,150,3,BANCO,0002,,147
010958632,2024-10-27T16:15:35,500,10,BANCO,0008,,490
010849951,2024-10-27T16:17:24,500,10,BANCO,0002,,490
010913537,2024-10-27T16:17:37,1000,20,BANCO,0002,,980
010921901,2024-10-27T16:17:58,150,3,BANCO,0002,,147
010932919,2024-10-27T16:18:02,50,1,BANCO,0002,,49
010948558,2024-10-27T16:16:16,500,10,BANCO,0005,,490
010951744,2024-10-27T16:19:00,510,10,BANCO,0002,,500
010951152,2024-10-27T16:19:05,500,10,BANCO,0008,,490
010957835,2024-10-27T16:19:37,500,10,BANCO,0002,,490
010959649,2024-10-27T16:19:41,100,2,BANCO,0002,,98
010938288,2024-10-27T16:20:22,300,6,BANCO,0002,,294
010942183,2024-10-27T16:21:00,250,5,BANCO,0004,,245
010951740,2024-10-27T16:21:14,150,3,BANCO,0002,,147
010960512,2024-10-27T16:23:32,1500,30,BANCO,0002,,1470
010896552,2024-10-27T16:24:18,50,1,BANCO,0002,,49
010918842,2024-10-27T16:24:58,1000,20,BANCO,0002,,980
010920828,2024-10-27T16:25:42,500,10,BANCO,0002,,490
010939873,2024-10-27T16:26:15,350,7,BANCO,0002,,343
010947357,2024-10-27T16:27:44,500,10,BANCO,0002,,490
010949259,2024-10-27T16:28:28,500,10,BANCO,0002,,490
010956835,2024-10-27T16:29:33,500,10,BANCO,0004,,490
010960515,2024-10-27T16:29:57,1000,20,BANCO,0002,,980
010897027,2024-10-27T16:31:21,250,5,BANCO,0002,,245
010915265,2024-10-27T16:31:43,500,10,BANCO,0002,,490
010928761,2024-10-27T16:32:13,500,10,BANCO,0002,,490
010931604,2024-10-27T16:32:18,100,2,BANCO,0002,,98
010935514,2024-10-27T16:30:09,700,14,BANCO,0005,,686
010894228,2024-10-27T16:33:59,1000,20,BANCO,0002,,980
010922178,2024-10-27T16:31:47,200,4,BANCO,0005,,196
010929478,2024-10-27T16:34:04,500,10,BANCO,0002,,490
010936618,2024-10-27T16:34:12,1000,20,BANCO,0002,,980
010948520,2024-10-27T16:33:03,1000,20,BANCO,0005,,980
010948158,2024-10-27T16:36:41,500,10,BANCO,0002,,490
010951222,2024-10-27T16:37:06,500,10,BANCO,0002,,490
010952453,2024-10-27T16:39:12,250,5,BANCO,0002,,245
010952305,2024-10-27T16:38:56,250,5,BANCO,0005,,245
010952380,2024-10-27T16:41:12,500,10,BANCO,0002,,490
010959407,2024-10-27T16:41:50,250,5,BANCO,0002,,245
010962342,2024-10-27T16:41:59,50,1,BANCO,0002,,49
010962333,2024-10-27T16:42:09,500,10,BANCO,0002,,490
010938171,2024-10-27T16:43:20,500,10,BANCO,0002,,490
010941388,2024-10-27T16:43:45,500,10,BANCO,0002,,490
010948177,2024-10-27T16:44:17,150,3,BANCO,0002,,147
010956397,2024-10-27T16:45:08,150,3,BANCO,0002,,147
010929188,2024-10-27T16:46:25,500,10,BANCO,0002,,490
010933885,2024-10-27T16:46:29,500,10,BANCO,0002,,490
010943972,2024-10-27T16:49:03,500,10,BANCO,0008,,490
